Name,B,F,Var,HD,HIP,RA,Dec,vis.mag.,abs.mag.,Dist. (ly),Sp. class,Notes,,ORDER tracé edges,RA2 h str,RA2 h nb,RA2 mn str,RA2 mn nb,RA2 sec str,RA2 sec nb,Dec2 h str,Dec2 h nb,Dec2 mn str,Dec2 mn nb,Dec2 sec str,Dec2 sec nb,RA2 h.,Dec2 deg.
73 UMa,,73,,108502,60795,12h 27m 35.13s,+55° 42′ 45.9″,5.68,0.03,439,M2III,,,,12,12, 27,27, 35.13,35.13,+55,55, 42,42, 45.9,45.9,12.4597583333333,55.71275
84 UMa,,84,CR,120198,67231,13h 46m 35.68s,+54° 25′ 57.7″,5.68,1,282,B9p EuCr,CR UMa; α² CVn variable,,,13,13, 46,46, 35.68,35.68,+54,54, 25,25, 57.7,57.7,13.7765777777778,54.4326944444444
86 UMa,,86,,121409,67848,13h 53m 51.04s,+53° 43′ 43.3″,5.7,0.03,444,A0V,,,,13,13, 53,53, 51.04,51.04,+53,53, 43,43, 43.3,43.3,13.8975111111111,53.7286944444444
,,,,87141,49363,10h 04m 36.35s,+53° 53′ 30.2″,5.71,2.34,154,F5V,,,,10,10, 04,4, 36.35,36.35,+53,53, 53,53, 30.2,30.2,10.0767638888889,53.8917222222222
CO UMa,,,CO,96813,54522,11h 09m 19.11s,+36° 18′ 34.0″,5.71,0.39,379,M3.5III,,,,11,11, 09,9, 19.11,19.11,+36,36, 18,18, 34.0,34,11.1553083333333,36.3094444444444
5 UMa,b,5,,75486,43644,08h 53m 22.57s,+61° 57′ 44.0″,5.72,1.01,285,F2III,,,,08,8, 53,53, 22.57,22.57,+61,61, 57,57, 44.0,44,8.88960277777778,61.9622222222222
,,,,83489,47594,09h 42m 14.93s,+69° 14′ 15.7″,5.72,−0.11,479,G9III:,,,,09,9, 42,42, 14.93,14.93,+69,69, 14,14, 15.7,15.7,9.70414722222222,69.2376944444444
57 Cam,,-57,OS,69148,40772,08h 19m 17.18s,+62° 30′ 25.7″,5.73,−0.07,470,G8III,"OS UMa, RS CVn variable",,,08,8, 19,19, 17.18,17.18,+62,62, 30,30, 25.7,25.7,8.32143888888889,62.5071388888889
HD 89744,,,,89744,50786,10h 22m 10.0s,+41° 13′ 46″,5.74,2.78,130,F7V,has two planets (b and c),,,10,10, 22,22, 10.0,10,+41,41, 13,13, 46,46,10.3694444444444,41.2294444444445
47 LMi,,-47,,94497,53377,10h 54m 58.22s,+34° 02′ 05.7″,5.73,0.87,305,G7III:,,,,10,10, 54,54, 58.22,58.22,+34,34, 02,2, 05.7,5.7,10.9161722222222,34.0349166666667
,,,,99283,55797,11h 25m 57.18s,+55° 51′ 01.2″,5.73,0.59,348,K0III,,,,11,11, 25,25, 57.18,57.18,+55,55, 51,51, 01.2,1.2,11.43255,55.8503333333333
62 UMa,,62,,101606,57029,11h 41m 34.50s,+31° 44′ 45.5″,5.73,2.67,133,F4V,,,,11,11, 41,41, 34.50,34.5,+31,31, 44,44, 45.5,45.5,11.6929166666667,31.7459722222222
,,,,102713,57670,11h 49m 41.80s,+34° 55′ 54.3″,5.73,1.52,227,F5IV,,,,11,11, 49,49, 41.80,41.8,+34,34, 55,55, 54.3,54.3,11.8282777777778,34.93175
,,,,77309,44504,09h 04m 00.40s,+54° 17′ 02.0″,5.74,0.67,336,A2V,,,,09,9, 04,4, 00.40,0.4,+54,54, 17,17, 02.0,2,9.06677777777778,54.2838888888889
32 UMa,,32,,88983,50448,10h 18m 02.15s,+65° 06′ 30.1″,5.74,1.32,249,A8III,,,,10,10, 18,18, 02.15,2.15,+65,65, 06,6, 30.1,30.1,10.3005972222222,65.1083611111111
,,,,92354,52338,10h 41m 48.31s,+68° 26′ 36.8″,5.74,−0.53,586,K3III,,,,10,10, 41,41, 48.31,48.31,+68,68, 26,26, 36.8,36.8,10.6967527777778,68.4435555555556
22 UMa,,22,,82189,47013,09h 34m 53.39s,+72° 12′ 21.1″,5.77,2.28,163,F7V,,,,09,9, 34,34, 53.39,53.39,+72,72, 12,12, 21.1,21.1,9.58149722222222,72.2058611111111
CG UMa,,,CG,80390,45915,09h 21m 43.30s,+56° 41′ 57.3″,5.79,−0.03,477,M4IIIa,,,,09,9, 21,21, 43.30,43.3,+56,56, 41,41, 57.3,57.3,9.36202777777778,56.69925
39 UMa,,39,,92728,52478,10h 43m 43.32s,+57° 11′ 57.6″,5.79,0.53,368,A0Vs,,,,10,10, 43,43, 43.32,43.32,+57,57, 11,11, 57.6,57.6,10.7287,57.1993333333333
,,,,106884,59920,12h 17m 29.56s,+53° 11′ 29.2″,5.8,0.46,382,K6III,,,,12,12, 17,17, 29.56,29.56,+53,53, 11,11, 29.2,29.2,12.2915444444444,53.1914444444444
71 UMa,,71,,108135,60584,12h 25m 03.22s,+56° 46′ 40.3″,5.82,−1.99,1190,M3III,,,,12,12, 25,25, 03.22,3.22,+56,56, 46,46, 40.3,40.3,12.4175611111111,56.7778611111111
,,,,99747,56035,11h 29m 04.70s,+61° 46′ 40.0″,5.83,3.24,107,F5Vawvar,,,,11,11, 29,29, 04.70,4.7,+61,61, 46,46, 40.0,40,11.4846388888889,61.7777777777778
66 UMa,,66,,103605,58181,11h 55m 58.41s,+56° 35′ 54.8″,5.83,0.9,315,K1III,,,,11,11, 55,55, 58.41,58.41,+56,56, 35,35, 54.8,54.8,11.9328916666667,56.5985555555556
HD 111456,,,,111456,62512,12h 48m 39.34s,+60° 19′ 11.6″,5.83,3.91,79,F5V,,,,12,12, 48,48, 39.34,39.34,+60,60, 19,19, 11.6,11.6,12.8109277777778,60.3198888888889
,,,,112486,63143,12h 56m 17.64s,+54° 05′ 58.1″,5.84,1.37,256,A5m,,,,12,12, 56,56, 17.64,17.64,+54,54, 05,5, 58.1,58.1,12.9382333333333,54.0994722222222
,,,,85841,48893,09h 58m 22.91s,+72° 52′ 46.6″,5.86,0.58,370,K3III:,,,,09,9, 58,58, 22.91,22.91,+72,72, 52,52, 46.6,46.6,9.97303055555556,72.8796111111111
EN UMa,,,EN,89343,50685,10h 21m 03.43s,+68° 44′ 51.8″,5.88,0.38,410,A7Vn,δ Sct variable,,,10,10, 21,21, 03.43,3.43,+68,68, 44,44, 51.8,51.8,10.3509527777778,68.7477222222222
,,,,97989,55086,11h 16m 41.93s,+49° 28′ 34.6″,5.88,0.32,421,K0III:,,,,11,11, 16,16, 41.93,41.93,+49,49, 28,28, 34.6,34.6,11.2783138888889,49.4762777777778
,,,,111270,62402,12h 47m 18.93s,+62° 46′ 52.1″,5.88,1.88,206,A9V,,,,12,12, 47,47, 18.93,18.93,+62,62, 46,46, 52.1,52.1,12.7885916666667,62.7811388888889
,,,,71088,41676,08h 29m 46.29s,+67° 17′ 50.7″,5.89,0.92,322,G8III,,,,08,8, 29,29, 46.29,46.29,+67,67, 17,17, 50.7,50.7,8.49619166666667,67.2974166666667
,,,,96834,54537,11h 09m 38.55s,+43° 12′ 27.9″,5.89,−0.31,566,M2III,,,,11,11, 09,9, 38.55,38.55,+43,43, 12,12, 27.9,27.9,11.1607083333333,43.20775
,,,,73171,42452,08h 39m 17.65s,+52° 42′ 42.1″,5.91,0.48,397,K1III:,,,,08,8, 39,39, 17.65,17.65,+52,52, 42,42, 42.1,42.1,8.65490277777778,52.7116944444445
,,,,94132,53257,10h 53m 31.38s,+69° 51′ 14.6″,5.91,2.72,142,G9IV,,,,10,10, 53,53, 31.38,31.38,+69,69, 51,51, 14.6,14.6,10.89205,69.8540555555556
